company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,profitability_score,roe_score,leverage_score,efficiency_score,financial_health_score,health_rating
ADANIGREEN,Mar 2020,-2.67,56.89,-2.89,6.31,1.35,0.14,4,4,4,4,16,Weak
ADANIGREEN,Mar 2021,5.83,71.73,8.27,11.0,1.35,0.11,8,8,4,4,24,Weak
ADANIGREEN,Mar 2022,9.53,68.42,18.71,20.21,1.54,0.09,8,16,4,4,32,Weak
ADANIGREEN,Mar 2023,12.51,63.91,13.32,7.42,1.94,0.12,12,12,4,4,32,Weak
ADANIGREEN,Mar 2024,13.67,79.37,12.81,6.6,1.71,0.1,12,12,4,4,32,Weak
ADANIPORTS,Mar 2013,45.82,66.59,25.63,1.82,5.03,0.17,20,20,12,4,56,Good
ADANIPORTS,Mar 2014,36.05,60.43,19.86,1.48,3.69,0.2,20,16,12,4,52,Average
ADANIPORTS,Mar 2015,37.78,63.43,21.59,1.65,3.9,0.19,20,20,12,4,56,Good
ADANIPORTS,Mar 2016,40.17,64.38,21.15,1.65,4.72,0.19,20,20,12,4,56,Good
ADANIPORTS,Mar 2017,46.24,64.2,22.26,1.27,5.78,0.19,20,20,12,4,56,Good
ADANIPORTS,Mar 2018,32.59,63.21,17.65,1.07,5.07,0.24,20,16,12,4,52,Average
ADANIPORTS,Mar 2019,37.03,60.38,16.6,1.14,5.69,0.19,20,16,12,4,52,Average
ADANIPORTS,Mar 2020,31.88,50.09,14.87,1.19,4.04,0.19,20,12,12,4,48,Average
ADANIPORTS,Mar 2021,40.23,69.23,16.59,1.18,4.73,0.17,20,16,12,4,52,Average
ADANIPORTS,Mar 2022,28.93,55.66,11.84,1.15,4.47,0.17,20,12,12,4,48,Average
ADANIPORTS,Mar 2023,25.85,52.5,11.88,1.18,4.77,0.19,20,12,12,4,48,Average
ADANIPORTS,Mar 2024,30.34,58.36,15.35,0.94,5.95,0.23,20,16,16,4,56,Good
ADANIPOWER,Mar 2013,-34.29,14.35,-53.46,9.74,0.69,0.12,4,4,4,4,16,Weak
ADANIPOWER,Mar 2014,-1.9,29.96,-4.45,6.75,1.14,0.26,4,4,4,4,16,Weak
ADANIPOWER,Mar 2015,-4.37,25.04,-14.25,7.82,1.21,0.32,4,4,4,4,16,Weak
ADANIPOWER,Mar 2016,2.17,34.68,7.38,7.06,1.55,0.33,4,8,4,4,20,Weak
ADANIPOWER,Mar 2017,-27.3,26.44,-205.8,17.49,0.39,0.32,4,4,4,4,16,Weak
ADANIPOWER,Mar 2018,-10.36,26.77,-236.56,59.43,1.11,0.29,4,4,4,4,16,Weak
ADANIPOWER,Mar 2019,-4.12,20.86,-12.76,6.09,1.31,0.35,4,4,4,4,16,Weak
ADANIPOWER,Mar 2020,-8.6,21.66,-35.1,8.52,1.14,0.35,4,4,4,4,16,Weak
ADANIPOWER,Mar 2021,4.84,33.13,9.69,4.01,2.08,0.33,4,8,4,4,20,Weak
